title,label,text,word_count
Full-Wave Feasibility Study of Anti-Radar Diagnostic of Magnetic Field Based on O-X Mode Conversion and Oblique Reflectometry Imaging,0,"An innovative millimeter wave diagnostic is proposed to measure the local magnetic field and edge current as a function of the minor radius in the tokamak pedestal region. The idea is to identify the direction of minimum reflectivity at the O-mode cutoff layer. Correspondingly, the transmissivity due to O-X mode conversion is maximum. That direction, and the angular map of reflectivity around it, contain information on the magnetic field vector B at the cutoff layer. Probing the plasma with different wave frequencies provides the radial profile of B. Full-wave finite-element simulations are presented here in 2D slab geometry. Modeling confirms the existence of a minimum in reflectivity that depends on the magnetic field at the cutoff, as expected from mode conversion physics, giving confidence in the feasibility of the diagnostic. The proposed reflectometric approach is expected to yield superior signal-to-noise ratio and to access wider ranges of density and magnetic field, compared with related radiometric techniques that require the plasma to emit Electron Bernstein Waves. Due to computational limitations, frequencies of 10-20 GHz were considered in this initial study. Frequencies above the edge electron-cyclotron frequency (f>28 GHz here) would be preferable for the experiment, because the upper hybrid resonance and right cutoff would lie in the plasma, and would help separate the O-mode of interest from spurious X-waves.",229
Full-Wave Feasibility Study of Anti-Radar Diagnostic of Magnetic Field Based on O-X Mode Conversion and Oblique Reflectometry Imaging,1,"This paper presents a feasibility study of an anti-radar diagnostic of magnetic fields through a combination of O-X mode conversion and oblique reflectometry imaging. The proposed method relies on the conversion of the ordinary (O) mode of a probing electromagnetic wave into an extraordinary (X) mode, which interacts with the magnetic field and generates a secondary wave. This secondary wave is then detected and analyzed through oblique reflectometry imaging, which provides additional information about the spatial distribution and temporal evolution of the field. A full-wave approach, based on a numerical simulation of the electromagnetic waves and their interaction with the plasma, is used to investigate the feasibility and performance of the method. The simulation results show that the proposed technique is capable of detecting magnetic fields in various plasma environments, including fusion plasmas, with high accuracy and spatial resolution. The study also includes an analysis of the sensitivity of the method to different plasma parameters and experimental conditions, as well as a comparison with other diagnostic techniques. The results demonstrate the potential of the proposed method as a valuable tool for magnetic field diagnostics in diverse plasma physics research applications.",193
Time-Dependent Models for Blazar Emissions with the Second-Order Fermi Acceleration,0,"The second-order Fermi acceleration (Fermi-II) driven by turbulence may be responsible for the electron acceleration in blazar jets. We test this model with time-dependent simulations. The hard electron spectrum predicted by the Fermi-II process agrees with the hard photon spectrum of 1ES 1101-232. For other blazars that show softer spectra, the Fermi-II model requires radial evolution of the electron injection rate and/or diffusion coefficient in the outflow. Such evolutions can yield a curved electron spectrum, which can reproduce the synchrotron spectrum of Mrk 421 from the radio to the X-ray regime.The photon spectrum in the GeV energy range of Mrk 421 is hard to fit with a synchrotron self-Compton model. However, if we introduce an external radio photon field with a luminosity of $4.9 \times 10^{38}~\mbox{erg}~\mbox{s}^{-1}$, GeV photons are successfully produced via inverse Compton scattering. The temporal variability of the diffusion coefficient or injection rate causes flare emission. The observed synchronicity of X-ray and TeV flares implies a decrease of the magnetic field in the flaring source region.",186
Time-Dependent Models for Blazar Emissions with the Second-Order Fermi Acceleration,1,"Blazars display a distinct, often extreme variability in their luminosities, indicating that the particles responsible for their emissions are being accelerated. A possible mechanism for such acceleration is the second-order Fermi acceleration. Here we present time-dependent models for blazar emissions based on this mechanism. We employ a kinetic approach, taking into account the injection, acceleration, and eventual cooling of particles in the plasma, and use numerical simulations to predict the resulting radiation output. Our findings suggest that the second-order Fermi acceleration plays an important role in shaping the variability of blazar emissions. In particular, our models can reproduce the observed spectral energy distributions and light curves well. We also investigate the dependence of the emission properties on various parameters, such as the particle injection rate, magnetic field strength, and the efficiency of turbulent mixing. These models have implications for our understanding of particle acceleration in extreme astrophysical environments and can guide future observations of blazar emissions.",159
"Lithium in the Intermediate-Age Open Cluster, NGC 3680",0,"High-dispersion spectra centered on the Li 6708 A line have been obtained for 70 potential members of the open cluster NGC 3680, with an emphasis on stars in the turnoff region. A measurable Li abundance has been derived for 53 stars, 39 of which have radial velocities and proper motions consistent with cluster membership. After being transferred to common temperature and abundance scales, previous Li estimates have been combined to generate a sample of 49 members, 40 of which bracket the cluster Li-dip. Spectroscopic elemental analysis of 8 giants and 5 turnoff stars produces [Fe/H] = -0.17 +/- 0.07 (sd) and -0.07 +/- 0.02 (sd), respectively. We also report measurements of Ca, Si and Ni which are consistent with scaled-solar ratios within the errors. Adopting [Fe/H] = -0.08 (Sect. 3.6), Y^2 isochrone comparisons lead to an age of 1.75 +/- 0.10 Gyr and an apparent modulus of (m-M) = 10.30 +/- 0.15 for the cluster, placing the center of the Li-dip at 1.35 +/- 0.03 solar masses. Among the giants, 5 of 9 cluster members are now known to have measurable Li with A(Li) near 1.0. A combined sample of dwarfs in the Hyades and Praesepe is used to delineate the Li-dip profile at 0.7 Gyr and [Fe/H] = +0.15, establishing its center at 1.42 +/- 0.02 solar masses and noting the possible existence of secondary dip on its red boundary. When evolved to the typical age of the clusters NGC 752, IC 4651 and NGC 3680, the Hyades/Praesepe Li-dip profile reproduces the observed morphology of the combined Li-dip within the CMD's of the intermediate-age clusters while implying a metallicity dependence for the central mass of the Li-dip given by Mass = (1.38 +/-0.04) + (0.4 +/- 0.2)[Fe/H]. The implications of the similarity of the Li-dichotomy among giants in NGC 752 and IC 4651 and the disagreement with the pattern among NGC 3680 giants are discussed.",344
"Lithium in the Intermediate-Age Open Cluster, NGC 3680",1,"The open cluster, NGC 3680, has been of interest to many astronomers due to its intermediate age and proximity to the Sun. Recently, lithium has also emerged as a topic of great interest within the cluster. Here, we present a detailed analysis of the lithium abundance of NGC 3680 stars using high-resolution spectra obtained with the Fibre-fed Extended Range Optical Spectrograph (FEROS) at the La Silla Observatory.

Our sample comprises 80 stars within the cluster, with effective temperatures ranging from 4900 K to 6800 K and atmospheric pressures of 1.5 to 4.0 dex. We find no significant correlation between the effective temperature and the lithium abundance of the stars. However, we do observe a negative correlation between the lithium abundance and the stellar age, which indicates that the depletion of lithium is due to post-main sequence depletion. Furthermore, we find that the number of lithium-rich stars is lower than expected, which may be attributed to the disk destruction and mixing caused by the Galactic tide.

We also compare our NGC 3680 results to other open clusters with similar metallicities. Our findings suggest that the lithium-rich stars in NGC 3680 are relatively younger than those in other open clusters. This result has important implications for the development of lithium depletion models, especially since the depletion process is extremely dependent on the age of the open cluster. Additionally, this study uncovers a new perspective on the lithium abundance of intermediate-age open clusters and sheds light on the cosmic evolutionary history of the Milky Way.

In conclusion, our study provides an in-depth analysis of the lithium abundance of the intermediate-age open cluster, NGC 3680. Our findings offer new insights into the formation and evolution of open clusters, as well as the depletion of lithium during post-main sequence stars. Further research in this field is crucial for understanding the origin of the elements in our universe and the chemical evolution of galaxies.",329
GSP-spec line list for the parametrisation of Gaia -RVS stellar spectra,0,"The Gaia mission is a magnitude-limited whole-sky survey that collects an impressive quantity of astrometric, spectro-photometric and spectroscopic data.

Among all the on-board instruments, the Radial Velocity Spectrometer (RVS) produces millions of spectra up to a magnitude of G$_{RVS} \sim 16$. For the brightest RVS targets, stellar atmospheric parameters and individual chemical abundances are automatically estimated by the Generalized Stellar Parametriser - spectroscopy group (GSP-Spec). These data will be published with the third Gaia Data Release. Some major ingredients of the determination of these stellar parameters include the atomic and molecular line lists that are adopted to compute reference synthetic spectra, on which the parametrisation methods rely.

We aim to build such a specific line list optimised for the analysis of RVS late-type star spectra. Starting from the Gaia-ESO line lists, we first compared the observed and synthetic spectra of six well-known reference late-type stars in the wavelength range covered by the RVS instrument. We then improved the quality of the atomic data for the transitions presenting the largest mismatches. The new line list is found to produce very high-quality synthetic spectra for the tested reference stars and has thus been adopted within GSP-Spec.",206
GSP-spec line list for the parametrisation of Gaia -RVS stellar spectra,1,"In this study, a GSP-spec line list has been created to facilitate the parametrization of stellar spectra obtained by Gaia-RVS. This line list is based on the latest atomic and molecular data, and includes approximately 61,000 spectral lines covering the wavelength range of Gaia-RVS (845-872 nm). The line list has been optimised to improve the accuracy and precision of elemental abundances derived from Gaia-RVS spectra, and includes corrections for departures from local thermodynamic equilibrium (LTE). The parametrization method has also been refined, using a combination of spectral synthesis and statistical techniques, to improve the precision of stellar atmospheric parameters such as effective temperature, surface gravity, and metallicity. The accuracy of the GSP-spec line list and the parametrization method has been tested using synthetic spectra, and the results indicate that this approach yields precise and accurate determination of stellar atmospheric parameters for stars with signal-to-noise ratios above 30. This line list and parametrization method have significant applications in large-scale spectroscopic surveys such as Gaia, which aims to measure the kinematic and chemical properties of more than one billion stars in the Milky Way.",192
Online Recovery Guarantees and Analytical Results for OMP,0,"Orthogonal Matching Pursuit (OMP) is a simple, yet empirically competitive algorithm for sparse recovery. Recent developments have shown that OMP guarantees exact recovery of K-sparse signals with K or more than K iterations if the observation matrix satisfies the restricted isometry property (RIP) with some conditions. We develop RIP-based online guarantees for recovery of a K-sparse signal with more than K OMP iterations. Though these guarantees cannot be generalized to all sparse signals a priori, we show that they can still hold online when the state-of-the-art K-step recovery guarantees fail. In addition, we present bounds on the number of correct and false indices in the support estimate for the derived condition to be less restrictive than the K-step guarantees. Under these bounds, this condition guarantees exact recovery of a K-sparse signal within 3K/2 iterations, which is much less than the number of steps required for the state-of-the-art exact recovery guarantees with more than K steps. Moreover, we present phase transitions of OMP in comparison to basis pursuit and subspace pursuit, which are obtained after extensive recovery simulations involving different sparse signal types. Finally, we empirically analyse the number of false indices in the support estimate, which indicates that these do not violate the developed upper bound in practice.",221
Online Recovery Guarantees and Analytical Results for OMP,1,"This paper presents a comprehensive study of online recovery guarantees and analytical results for Orthogonal Matching Pursuit (OMP). We begin by examining the asymptotic analysis of OMP- a well-known greedy algorithm used in sparse signal recovery. Specifically, we investigate the precise conditions under which OMP successfully recovers a sparse signal and derive the corresponding lower bounds on the sparsity level. In addition, we establish concentration inequalities that control the deviation of OMP's estimate from the true signal. Building on these theoretical results, we present the online recovery guarantees for OMP in a non-adaptive setting where the signal is drawn from a fixed distribution. We study the performance of OMP under different levels of sparsity and noise and demonstrate that online OMP attains a desirable trade-off between accuracy and computational complexity. Finally, we validate our analytical results through numerical experiments and showcase the effectiveness of OMP in practical sparse recovery applications. Overall, our theoretical and experimental analysis demonstrates the robustness and versatility of OMP, making it a potential tool for a wide range of signal processing tasks.",180
4d Gauge Theory and Gravity Generated from 3d Ones at High Energy,0,"Dynamical generation of 4d gauge theories and gravity at low energy from the 3d ones at high energy is studied, based on the fermion condensation mechanism recently proposed by Arkani-Hamed, Cohen and Georgi. For gravity, 4d Einstein gravity is generated from the multiple copy of the 3d ones, by referring to the two form gravity. Since the 3d Einstein action without matter coupling is topological, ultraviolet divergences are less singular in our model. In the gauge model, matter fermions are introduced on the discrete lattice following Wilson. Then, the 4d gauge interactions are correctly generated from the 3d theories even in the left-right asymmetric theories of the standard model. In order for this to occur, the Higgs fields as well as the gauge fields of the extra dimension should be generated by the fermion condensates. Therefore, the generation of the 4d standard model from the multiple copy of the 3d ones is quite promising. To solve the doubling problem in the weak interaction sector, two kinds of discrete lattices have to be introduced separately for L- and R-handed sectors, and the two types of Higgs fields should be generated.",192
4d Gauge Theory and Gravity Generated from 3d Ones at High Energy,1,"In this paper, we investigate the relationship between 4d gauge theory and gravity that arises from 3d ones at high energy. We explore the dualities between these theories and their implications for our understanding of fundamental physics. Using tools from holography and quantum field theory, we provide evidence for these dualities and show that they are crucial for describing the behavior of strongly coupled systems. Our results suggest a new perspective on the nature of gravity and its connection to gauge theory, potentially opening new avenues for research in theoretical physics. We also discuss the role played by the holographic principle in this context and its connection to the emergence of spacetime geometry. Our work sheds light on the deep connections between seemingly disparate theories and provides a framework for studying the behavior of high-energy systems. Overall, this paper represents a significant contribution to the ongoing efforts to unify the fundamental forces of nature.",155
Cooperative Binning for Semi-deterministic Channels with Non-causal State Information,0,"The capacity of the semi-deterministic relay channel (SD-RC) with non-causal channel state information (CSI) only at the encoder and decoder is characterized. The capacity is achieved by a scheme based on cooperative-bin-forward. This scheme allows cooperation between the transmitter and the relay without the need to decode a part of the message by the relay.

The transmission is divided into blocks and each deterministic output of the channel (observed by the relay) is mapped to a bin. The bin index is used by the encoder and the relay to choose the cooperation codeword in the next transmission block. In causal settings the cooperation is independent of the state. In \emph{non-causal} settings dependency between the relay's transmission and the state can increase the transmission rates. The encoder implicitly conveys partial state information to the relay. In particular, it uses the states of the next block and selects a cooperation codeword accordingly and the relay transmission depends on the cooperation codeword and therefore also on the states. We also consider the multiple access channel with partial cribbing as a semi-deterministic channel. The capacity region of this channel with non-causal CSI is achieved by the new scheme. Examining the result in several cases, we introduce a new problem of a point-to-point (PTP) channel where the state is provided to the transmitter by a state encoder.

Interestingly, even though the CSI is also available at the receiver, we provide an example which shows that the capacity with non-causal CSI at the state encoder is strictly larger than the capacity with causal CSI.",271
Cooperative Binning for Semi-deterministic Channels with Non-causal State Information,1,"The problem of channel coding in cooperative communication systems is well studied in the literature, but most of the existing work assumes that the channel state information (CSI) is known at the transmitter in a causal fashion. However, in many practical situations, the CSI is only available non-causally, which is a more challenging scenario for cooperative communication. In this paper, we address the issue of cooperative binning for semi-deterministic channels with non-causal state information (NCSI). 

Our approach is based on the idea of ""CSI binning,"" which is a technique for organizing the CSI at the receivers by dividing it into multiple bins. Each bin contains a subset of CSI values that are associated with a particular decoding outcome. We propose a new scheme for cooperative binning that is specifically designed to exploit the NCSI at the receivers. Our scheme is based on a two-phase protocol that involves a preliminary calibration phase, followed by a data transmission phase. During the calibration phase, the receivers cooperate to estimate the NCSI, and use it to construct the CSI bins. In the transmission phase, the transmitter sends information to the receivers by using a combination of binning and superposition coding. 

We analyze the performance of our scheme in terms of the achievable rates and the error probabilities. We show that, under certain conditions, our scheme achieves rates that approach the capacity of the semi-deterministic channel with NCSI. Our results suggest that cooperative binning is an effective approach for dealing with the challenging scenario of NCSI, and provides new insights into the design of cooperative communication systems.",267
Efficiently Approximating Edit Distance Between Pseudorandom Strings,0,"We present an algorithm for approximating the edit distance $\operatorname{ed}(x, y)$ between two strings $x$ and $y$ in time parameterized by the degree to which one of the strings $x$ satisfies a natural pseudorandomness property. The pseudorandomness model is asymmetric in that no requirements are placed on the second string $y$, which may be constructed by an adversary with full knowledge of $x$.

We say that $x$ is \emph{$(p, B)$-pseudorandom} if all pairs $a$ and $b$ of disjoint $B$-letter substrings of $x$ satisfy $\operatorname{ed}(a, b) \ge pB$.

Given parameters $p$ and $B$, our algorithm computes the edit distance between a $(p, B)$-pseudorandom string $x$ and an arbitrary string $y$ within a factor of $O(1/p)$ in time $\tilde{O}(nB)$, with high probability.

Our algorithm is robust in the sense that it can handle a small portion of $x$ being adversarial (i.e., not satisfying the pseudorandomness property). In this case, the algorithm incurs an additive approximation error proportional to the fraction of $x$ which behaves maliciously.

The asymmetry of our pseudorandomness model has particular appeal for the case where $x$ is a \emph{source string}, meaning that $\operatorname{ed}(x, y)$ will be computed for many strings $y$. Suppose that one wishes to achieve an $O(\alpha)$-approximation for each $\operatorname{ed}(x, y)$ computation, and that $B$ is the smallest block-size for which the string $x$ is $(1/\alpha, B)$-pseudorandom. We show that without knowing $B$ beforehand, $x$ may be preprocessed in time $\tilde{O}(n^{1.5}\sqrt{B})$, so that all future computations of the form $\operatorname{ed}(x, y)$ may be $O(\alpha)$-approximated in time $\tilde{O}(nB)$. Furthermore, for the special case where only a single $\operatorname{ed}(x, y)$ computation will be performed, we show how to achieve an $O(\alpha)$-approximation in time $\tilde{O}(n^{4/3}B^{2/3})$.",321
Efficiently Approximating Edit Distance Between Pseudorandom Strings,1,"Given the ubiquity of text data and the need to match or compare strings, the problem of efficiently approximating the edit distance between pseudorandom strings is of considerable importance. The edit distance between two strings is the minimum number of edit operations (insertions, deletions, and replacements) required to transform one string into another.

In many applications, strings are generated randomly and have a large alphabet, making exact computation of the edit distance computationally expensive. In this paper, we present a novel approach for approximating the edit distance between two pseudorandom strings with high probability. Our algorithm is based on sketching the strings into small, easily computable summaries, and then applying a pairwise hashing scheme to estimate the edit distance.

Our theoretical analysis shows that our algorithm achieves a constant approximation factor with high probability, and the runtime of our algorithm is linear in the length of the strings. Experimentally, we demonstrate that our algorithm outperforms existing state-of-the-art algorithms for approximating edit distance on a variety of random and real-world data sets.

Furthermore, we show that our algorithm scales well for multi-string similarity search, where the goal is to find all pairs of strings in a collection with edit distance below a given threshold. Our approach leverages the properties of pseudorandomness to design compact sketches that are preserved under edit operations, allowing us to perform efficient pairwise comparisons and filtering.

In conclusion, our proposed algorithm provides an efficient and effective method for approximating the edit distance between pseudorandom strings. We believe that our work contributes towards the development of fast and accurate string matching techniques, which are essential for many applications in information retrieval, natural language processing, and computational biology.",284
Influential Node Ranking in Complex Networks Using A Randomized DynamicsSensitive Approach,0,"Identifying the most influential nodes in information networks has been the focus of many research studies. This problem has crucial applications in various contexts including biology, medicine, and social science, such as controlling the propagation of viruses or rumours in real world networks. While existing methods mostly employ local neighbourhood features which heavily rely on the network structure and disregard the underlying diffusion dynamics, in this work we present a randomized sampling algorithm that not only takes into account the local and global structural features of the network but also considers the underlying diffusion dynamics and its parameters. The main idea is to compute the influentiality of a node through reachability from that node in a set of random graphs. We use a hyper-graph to capture the reachability from nodes in the original network, and theoretically argue that the hypergraph can be used to approximate the theoretical influentiality of nodes in the original graph with a factor of 1 - epsilon. The performance of the proposed model is also evaluated empirically by measuring the correlation between the ranking generated by the proposed method and the ground truth ranking. Our results show that the proposed method substantially outperforms state of the art methods and achieves the highest correlation with the ground-truth ranking, while the generated ranking has a high level of uniqueness and uniformity.

Theoretical and practical analysis of the running time of the algorithm also confirms that the proposed method maintains a competitive running time in comparison to the state of the art methods.",255
